gene_official,scr_sum,rusp,scr_babydetectv2,scr_babyscreen,scr_babyseq2,scr_beginngs,scr_chenetal,scr_earlycheck,scr_firststeps,scr_generation,scr_gnstar,scr_guardian,scr_jianetal,scr_leeetal,scr_luoetal,scr_neoexome,scr_neoseq,scr_nests,scr_newbornsinsa,scr_puglia,scr_wangetal,scr_foresite,scr_fulgent,scr_igenomix,scr_nurture,scr_perkinelmer,scr_sema,inheritance,penetrance,age_onset_asqm_standard,severity,likelihood,efficacy,acceptability,knowledge,yespct,prevalence_100k,orthogonal_test
POU1F1,14,,,1,1,1,,1,1,1,,,,,,,,,1,1,,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,2,3,2,1,2.31,Y
OAT,14,,,1,,,,,,,1,1,,1,1,,1,,1,1,,1,1,1,1,1,1,,,Childhood,1,3,2,2,3,1,.067,Y
THRA,14,,1,1,1,,,,,1,1,,,1,,1,1,,1,,,1,1,1,,1,1,AD,HIGH (A),Neonatal,1,3,2,3,0,,,
GATM,14,,1,1,,,,1,,1,,1,,,,1,,,1,1,,1,1,1,1,1,1,,,Infant,1,3,2,3,1,1,.01,Y
LDLR,14,,,1,1,,1,,,1,,1,,,,1,,,1,1,1,1,1,,1,1,1,AD,HIGH (A),Variable,2,3,3,3,3,1,416.5,Y
STAR,14,,1,1,1,1,,1,1,1,,,,,,,,,1,1,,1,1,,1,1,1,AR,HIGH (A),Neonatal,3,3,3,3,2,1,,Y
CD3E,14,Core,1,1,,1,,,1,1,,1,1,,,,,,1,1,,1,1,1,,1,1,,,Infant,3,3,3,2,1,1,1.72,Y
SLC7A7,13,,1,1,1,,,,,1,,,,,,1,,,1,1,,1,1,1,1,1,1,AR,HIGH (A),Infant,1,3,2,3,3,1,unknown,Y
TAFAZZIN,13,Secondary,,,1,1,,1,1,1,,,,1,1,,,,,1,,1,1,,1,1,1,XLR,HIGH (A),Birth,2,3,2,3,2,1,.43,Y
SCN1A,13,,,,1,1,1,,1,1,,,,1,,1,,,,1,1,1,1,1,,1,,AR,HIGH (A),,,,,,,0,3.595,N
RPL11,13,,1,1,1,1,1,,1,1,,,,,1,1,,,1,1,1,,,,1,,,AD,HIGH (A),Infant,1,3,2,3,2,1,.75,Y
ACADS,13,Secondary,1,,,,1,,,,1,1,1,1,1,1,1,1,,1,1,,,1,,,,,,Variable,1,0,3,3,0,,,
RPS26,13,,1,1,1,1,1,,1,1,,,,,1,1,,,1,1,1,,,,1,,,AD,HIGH (A),Infant,1,3,2,3,2,1,.75,Y
RPS19,13,,1,1,1,1,1,,1,1,,,,,1,1,,,1,1,1,,,,1,,,AD,HIGH (A),Infant,1,3,2,3,3,1,.75,Y
FANCA,13,,1,1,1,1,1,,1,,,,,,1,1,,1,1,1,1,,,,1,,,AR,HIGH (A),Childhood,2,3,2,2,3,1,.76,Y
RFXANK,13,,1,1,,1,,,1,1,,,1,,,,,,1,1,,1,1,1,1,1,,,,Neonatal,2,3,3,2,2,1,1.72,Y
ACVRL1,13,,,1,1,1,,,1,,,,,1,1,1,,1,1,1,,1,1,,,1,,AD,HIGH (A),Adolescent/Adult,2,3,2,2,3,,,
STX11,13,,1,1,1,1,,,1,1,,,,1,1,1,,1,1,1,,,,,1,,,AR,HIGH (A),,,,,,,1,2,Y
SH2D1A,13,,1,1,1,1,1,,1,1,,,,,1,1,,,1,1,1,,,,1,,,XLR,HIGH (A),,,,,,,1,.1,Y
LHX3,13,,,1,1,1,,,1,1,,,,,,,,,1,1,,1,1,1,1,1,1,AR,HIGH (A),Birth,2,3,3,3,2,1,2.31,Y
HBA2,13,Secondary,1,,1,1,1,,1,,,,1,1,,1,,1,,1,1,1,,,,,1,AR,HIGH (A),Variable,1,2,3,3,3,1,5.05,Y
NAGLU,13,,1,1,1,,1,,,,1,,,,1,1,1,,1,1,1,,,1,1,,,AR,HIGH (A),Childhood,3,3,0,0,2,1,.5,Y
ZAP70,13,,1,1,1,,,1,,1,,1,1,,,,,,1,1,,1,1,,1,1,,AR,HIGH (A),Infant,3,3,3,3,2,1,1.72,Y
ACADSB,12,Secondary,1,,,,1,,,,,1,1,1,1,1,1,1,,1,1,,,1,,,,,,Infant,2,0,3,3,1,,,
AKR1D1,12,,,1,1,,,1,,1,,,,,,1,,,1,,,1,1,1,1,1,1,AR,HIGH (A),Neonatal,1,3,2,3,2,1,,Y
CDH23,12,,,1,1,,,1,,,,,1,,1,,,1,1,,1,1,1,1,,1,,AR,HIGH (A),Birth,2,3,2,3,3,,,
TCIRG1,12,,,1,1,,,,,1,,,,1,1,1,,,1,,,1,1,,1,1,1,AR,HIGH (A),Infant,3,3,2,2,2,1,,Y
STXBP2,12,,1,1,1,1,,,1,1,,,,,1,1,,1,1,1,,,,,1,,,AR,HIGH (A),,,,,,,1,2,Y
F8,12,,1,,1,1,,1,1,1,,,,1,1,1,,1,,1,,,,1,,,,XLR,HIGH (A),Infant,2,3,3,3,3,1,7.5,Y
SLC39A4,12,,,1,1,,,1,,1,,1,,,,,,,1,,,1,1,1,1,1,1,AR,HIGH (A),Neonatal,2,3,3,3,2,1,.2,Y
AGXT,12,,1,1,1,,,1,,1,,1,,,,,,,1,,,1,1,1,,1,1,AR,HIGH (A),Childhood,2,3,2,3,2,1,1,Y
XIAP,12,,1,1,,1,1,,1,1,,,,,1,1,,,1,1,1,,,,1,,,,,,,,,,,1,.1,N
USH2A,12,,,1,1,,,,,,,,1,1,,1,,1,1,,1,1,1,1,,1,,AR,HIGH (A),Birth,1,3,2,3,3,,,
MPI,12,,,1,1,,,1,1,1,,,,,,,,,1,1,,1,1,,1,1,1,AR,HIGH (A),Infant,1,3,3,3,3,1,<1,Y
CASR,12,,,1,,1,,1,1,1,,,,,,,,,1,1,,1,1,1,,1,1,,,Neonatal,3,3,3,2,2,,,
LYST,12,,1,1,1,1,,,1,1,,,,,1,1,,1,1,1,,,,,1,,,AR,HIGH (A),Infant,2,3,2,1,2,1,,Y
GRHPR,12,,1,1,1,,,1,,1,,,,,,,,,1,,,1,1,1,1,1,1,AR,HIGH (A),Childhood,2,3,2,3,2,1,1.7,Y
PHKG2,12,,1,1,1,,1,1,,,,,,,1,1,,1,1,1,1,,,,1,,,AR,HIGH (A),Infant,1,3,3,3,1,1,.1,Y
TTPA,12,,1,1,1,,,,1,1,,,,,,,,,1,,,1,1,1,1,1,1,AR,HIGH (A),Childhood,1,3,3,3,3,1,.205,Y
INS,12,,,1,,1,,1,1,1,,,,,,1,,,1,1,,1,1,,,1,1,,,Neonatal,2,3,3,3,2,0,"0.87 (per 100,000)",Y
AHCY,12,Secondary,1,1,,1,,,1,,,1,1,,1,1,,1,1,1,,,,1,,,,,,Infant,2,3,2,3,0,,,
NR0B1,12,,,1,1,,1,,,1,,,,,1,1,,,1,,1,1,1,1,,1,,XLR,HIGH (A),,,,,,,,,
KCNQ2,11,,,,,1,,,1,1,,,,,,1,,,,1,,1,1,1,1,1,1,,,Neonatal,2,3,2,2,2,0,2.8,N
MOCS1,11,,1,1,1,1,,,1,,,1,,,1,1,,,1,1,,,,,1,,,AR,HIGH (A),,,,,,,1,.495,Y
GYS2,11,,1,1,1,,,,,,,,,,1,1,,,1,,,1,1,1,,1,1,AR,HIGH (A),Infant,1,3,3,3,1,,,
GLB1,11,,,,1,,1,,,,,,,1,1,1,,1,,,1,1,1,1,,1,,AR,HIGH (A),Childhood,1,3,0,0,3,,,
SLC34A3,11,,,1,1,,,,,1,,,,,,1,,,1,1,,1,1,1,1,1,,AR,HIGH (A),,,,,,,1,,N
MEFV,11,,,1,1,,1,,,1,,,,,1,1,,,1,,1,1,1,,,1,,AR,HIGH (A),Childhood,1,2,3,3,3,0,unk,N
FBN1,11,,,1,1,,,,,,,,,1,1,1,,1,1,,,1,1,,,1,1,AD,HIGH (A),Variable,2,3,2,3,3,,,
RPS17,11,,1,1,1,1,,,1,1,,,,,1,1,,,1,1,,,,,1,,,AD,HIGH (A),Infant,1,3,2,3,2,1,.75,Y
HOGA1,11,,1,1,,,,1,,1,,,,,,,,,1,,,1,1,1,1,1,1,,,Childhood,1,3,2,3,2,1,1.7,Y
POR,11,,1,1,1,1,,,1,1,,,,,,,,,1,1,,1,1,,,1,,AR,HIGH (A),,,,,,,0,unk,Y
RMRP,11,,,1,1,1,,,1,,1,,1,,1,1,1,,1,,1,,,,,,,AR,HIGH (A),Neonatal,1,3,2,3,3,1,1.72,N
PHKA2,11,,1,1,1,,1,1,,,,,,,1,1,,,1,1,1,,,,1,,,XLR,HIGH (A),Childhood,2,2,3,3,2,1,.75,Y
G6PC3,11,,1,1,1,1,,,1,,,,,,1,1,,1,1,1,,,,,1,,,AR,HIGH (A),,,,,,,1,.04,Y
SBDS,11,,1,1,1,1,,,1,1,,,,,1,1,,,1,1,,,,,1,,,AR,HIGH (A),,,,,,,1,1.3,Y
MYH7,11,,1,1,1,1,,,1,,,,,,1,1,,1,1,,,1,,,,1,,AD,HIGH (A),Variable,2,2,2,3,3,,,
KCNH2,11,,,1,1,,,,,1,,1,,,1,1,,1,1,1,,1,,,,1,,AD,MODERATE (A),Variable,3,2,2,2,3,,,
FOLR1,11,,1,1,,,,,1,1,,,,,,,,,1,1,,1,1,,1,1,1,,,Childhood,1,3,3,3,1,1,,Y
RFX5,11,,1,1,,,,,,1,,,1,,,1,,,1,,,1,1,1,1,1,,,,Neonatal,2,3,3,2,1,1,1.72,Y
NHEJ1,11,Core,,1,1,1,,,1,1,,1,1,,1,1,,,1,1,,,,,,,,AR,HIGH (A),Infant,3,0,2,3,1,,,
TPP1,11,,1,1,1,,,,1,1,,1,,,1,1,,,1,,,,,1,1,,,AR,HIGH (A),Childhood,3,3,0,0,3,1,.465,Y
PTPRC,11,Core,1,1,,,,,,1,,,1,,1,1,,,1,,,1,1,,,1,1,,,Infant,3,3,3,2,1,,,
IGSF1,11,,,1,1,,,,,1,,,,1,,1,,,1,,,1,1,1,,1,1,XLR,HIGH (A),Neonatal,2,0,3,3,1,,,
RPE65,11,,1,1,,,,,,1,,1,,1,,,,1,1,1,,1,,1,1,,,,,,,,,,,1,.6850000000000001,Y
RPL5,11,,1,1,1,1,,,1,1,,,,,1,1,,,1,1,,,,,1,,,AD,HIGH (A),Infant,1,3,2,3,2,1,.75,Y
TMPRSS3,11,,,1,1,,,1,,,,,,,1,,,1,1,,1,1,1,1,,1,,AR,HIGH (A),Infant,1,3,3,3,2,,,
COL1A2,11,,,1,1,,,,,1,,,,1,1,1,,1,1,,,1,1,,,1,,AD,HIGH (A),Childhood,1,3,2,2,3,,,
IYD,11,,1,1,,,,,,1,,,,1,,1,,,1,,,1,1,1,,1,1,,,Infant,1,3,3,3,2,,,
RET,11,,,1,1,,,1,,1,,,,,1,1,,,1,1,,1,,,1,1,,AD,HIGH (A),Variable,2,3,3,2,3,1,2.9,N
SLC4A1,11,,,1,1,,,,,1,,,,,1,,,1,1,,,1,1,,1,1,1,AD,HIGH (A),Neonatal,1,1,3,3,2,1,0.046-0.16,Y
RFXAP,11,,1,1,,,,,,1,,,1,,,1,,,1,,,1,1,1,1,1,,,,Neonatal,2,3,3,2,1,1,1.72,Y
RPS24,11,,1,1,1,1,,,1,1,,,,,1,1,,,1,1,,,,,1,,,AD,HIGH (A),Infant,1,3,2,3,2,1,.75,Y
NCF4,10,,1,,,1,,,1,1,,,,,1,,,1,1,1,,,,1,1,,,,,,,,,,,1,.675,Y
PHGDH,10,,1,1,,1,,,1,,,,,,,,,,1,1,,1,1,,,1,1,,,Birth,2,3,1,3,1,0,unknown,Y
PRKDC,10,,1,1,,1,,,1,1,,1,1,,,,,,1,1,,,,,1,,,,,Infant,3,0,0,0,0,1,1.72,Y
JAG1,10,,,,1,,,,,,,,,1,1,1,,1,,,,1,1,1,,1,1,AD,HIGH (A),Neonatal,2,3,2,2,2,,,
RAB27A,10,,1,1,1,1,,,1,1,,,,,,,,1,1,1,,,,,1,,,AR,HIGH (A),,,,,,,1,2,Y
MVK,10,,1,1,1,1,,,1,1,,,,,1,,,,1,1,,,,1,,,,AR,HIGH (A),,,,,,,1,4,Y
TRIOBP,10,,,1,1,,,1,,,,,,,1,,,1,1,,,1,1,1,,1,,AR,HIGH (A),Birth,1,3,3,3,2,,,
GCK,10,,,1,1,1,,1,1,1,,,,,,1,,,1,1,,,,,1,,,AD,HIGH (A),Neonatal,2,3,3,3,2,1,"2.4 ( (per 100,000)
See GLUD1 per RXGenes",Y
DPAGT1,10,,1,1,1,1,,,1,1,,,,,,1,,,1,1,,,,,1,,,AR,HIGH (A),,,,,,,1,.92,Y
NBN,10,,1,,1,1,,,1,1,,,1,,1,1,,,,1,,,,,1,,,AR,HIGH (A),,,,,,,1,1.72,N
MYO15A,10,,,1,1,,,1,,,,,,,1,,,1,1,,1,1,1,,,1,,AR,HIGH (A),Birth,1,3,3,3,2,,,
HMGCS2,10,Core,1,,,,,,,1,1,1,,,1,,1,,,,,1,1,,,1,1,,,Infant,2,3,3,3,1,1,<1,Y
AK2,10,Core,1,1,,1,,,1,1,,1,1,,,,,,1,1,,,,,1,,,,,Birth,3,3,1,2,2,1,1.72,Y
HCFC1,10,Secondary,1,,,1,,,1,,1,1,1,,,1,1,,,1,,,,1,,,,,,Infant,2,3,0,0,1,,,
COL1A1,10,,,1,1,,,,,1,,,,,1,1,,1,1,,,1,1,,,1,,AD,HIGH (A),Infant,1,3,2,2,3,,,
DOK7,10,,1,1,1,1,,,1,1,,,,,,1,,,1,1,,,,,1,,,AR,HIGH (A),,,,,,,1,.92,Y
USH1C,10,,,1,1,,,1,,,,,,,1,,,1,1,,,1,1,1,,1,,AR,HIGH (A),Birth,2,3,2,3,3,,,
MC2R,10,,,1,,1,,,1,1,,,,,,,,,1,1,,1,1,,1,1,,,,,,,,,,1,,Y
CHRNA1,10,,1,1,1,1,,,1,1,,,,,,1,,,1,1,,,,,1,,,AR,HIGH (A),,,,,,,1,.92,Y
TECTA,10,,,1,1,,,1,,,,,1,,1,,,1,1,,,1,1,,,1,,AR,HIGH (A),Childhood,1,3,3,3,3,,,
RPS10,10,,1,1,,1,,,1,1,,,,,1,1,,,1,1,,,,,1,,,,,Infant,1,3,2,3,2,1,.75,Y
GLIS3,10,,1,1,,1,,,1,1,,1,,1,,1,,,1,1,,,,,,,,,,Neonatal,2,2,2,2,2,,,
TNFRSF11A,10,,1,1,,1,,,1,1,,,,1,,1,,,1,1,,,,,1,,,,,,,,,,,1,,Y
LIG4,10,,1,1,1,,,,,1,,1,1,,1,1,,,1,,,,,,1,,,AR,HIGH (A),Variable,1,3,1,3,1,1,1.72,Y
CLCN7,10,,1,1,,1,,,1,1,,,,1,1,1,,,1,1,,,,,,,,,,,,,,,,0,.4,Y
SLC19A3,10,,1,1,1,1,,1,1,1,,,,,,,,,1,1,,,,,1,,,AR,HIGH (A),Childhood,2,3,3,3,2,,,
FANCC,10,,1,1,1,1,,,1,,,,,,1,,,1,1,1,,,,,1,,,AR,HIGH (A),Childhood,2,3,2,2,3,1,.76,Y
ATP6V1B1,10,,,1,1,1,,,1,1,,1,,,,,,1,1,1,,,,,1,,,AR,HIGH (A),Infant,1,3,3,3,2,1,0.046-0.16,Y
LPL,10,,1,,,,,,,1,,,,,,1,,,1,1,,1,1,,1,1,1,,,Childhood,1,3,2,2,2,1,.55,Y
PGM1,10,,,1,,1,1,,1,1,,,,,,1,,,1,1,1,,,,1,,,,,,,,,,,1,<1,Y
TMIE,10,,,1,1,,,1,,,,,,,1,,,1,1,,,1,1,1,,1,,AR,HIGH (A),Birth,1,3,3,3,2,,,
SCN5A,10,,,,1,1,,,1,1,,,,,,1,,1,1,1,,1,,,,1,,AD,MODERATE (A),Variable,3,2,2,2,3,,,
FOXN1,10,,1,1,,1,,,1,1,,,1,,1,,,,1,1,,,,,1,,,,,Neonatal,2,3,2,3,2,1,unk,Y
NCF1,10,,1,1,1,1,,,1,,,,,,1,,,1,,1,,,,1,1,,,AR,HIGH (A),,,,,,,1,.675,Y
NKX2-5,10,,1,1,1,,,,,,,1,1,1,,1,,1,1,,,,,1,,,,AD,MODERATE (A),Variable,2,0,3,3,0,,,
SLC5A1,10,,1,1,,1,,,1,1,,,,,1,1,,,1,1,,,,,1,,,,,,,,,,,1,unk,N
CHAT,10,,1,1,1,1,,,1,1,,,,,,1,,,1,1,,,,,1,,,AR,HIGH (A),,,,,,,1,.92,Y
GLDC,9,,1,,1,,1,,,,1,,,,1,1,1,1,,,1,,,,,,,AR,HIGH (A),,,,,,,1,1.05,Y
PKD2,9,,,,1,1,,,1,,,,,1,1,,,1,,,,1,1,,,1,,AD,HIGH (A),,,,,,,1,63.5,Y
SCNN1G,9,,1,,,1,,1,1,1,,,,,1,,,1,1,1,,,,,,,,,,Neonatal,3,3,3,3,2,0,3.595,Y
CUBN,9,,1,1,1,1,,,1,1,,,,,,,,1,1,1,,,,,,,,AR,HIGH (A),,,,,,,0,unk,Y
PIK3R1,9,,1,1,,1,,,1,1,,,1,,,,,,1,1,,,,,1,,,,,,,,,,,1,.75,Y
DDC,9,,1,1,1,1,,,1,1,,,,,,,,,1,1,,,,,1,,,AR,HIGH (A),,,,,,,1,.83,Y
PDHA1,9,,,1,1,,,,1,,,,,1,1,1,,,1,1,,,,,1,,,XLD,HIGH (A),,,,,,,1,1.52,Y
RPL35A,9,,1,,,1,,,1,1,,,,,1,1,,,1,1,,,,,1,,,,,Infant,1,3,2,3,2,1,.75,Y
USH1G,9,,,1,1,,,1,,,,,,,,,,1,1,,,1,1,1,,1,,AR,HIGH (A),Birth,2,3,2,3,2,,,
SLC52A2,9,,1,1,,1,,,1,1,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,1,,Y
CIITA,9,,1,1,,,,,,1,,,1,,,,,,1,,,1,1,,1,1,,,,,,,,,,1,1.72,Y
ABCB11,9,,1,,1,,1,,,,1,,,,1,1,1,1,,,1,,,,,,,AR,HIGH (A),,,,,,,,,
COQ4,9,,,1,,1,1,,1,1,,,,,,,,,1,1,1,,,,1,,,,,,,,,,,1,<1,Y
IL10RA,9,,1,1,1,1,,,1,1,,,,,,1,,,1,1,,,,,,,,AR,HIGH (A),,,,,,,0,,Y
OXCT1,9,,1,1,,1,,,1,1,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,1,unk,Y
SLC46A1,9,,,1,1,1,,,1,1,,,1,,,,,,1,1,,,,,1,,,AR,HIGH (A),Infant,2,3,2,2,2,1,1.72,Y
ENPP1,9,,,1,1,1,,,1,1,,,,,1,1,,,1,,,,,,1,,,AR,HIGH (A),,,,,,,1,.5,Y
MTTP,9,,,1,1,,,,,1,,,,,,,,,1,,,1,1,,1,1,1,AR,HIGH (A),Neonatal,1,3,3,3,0,1,,Y
EFL1,9,,1,1,,1,,,1,1,,,,,,1,,,1,1,,,,,1,,,,,,,,,,,1,1.3,Y
PKHD1,9,,,,1,,,,,,,,,1,1,1,,1,,,,1,1,,1,1,,AR,HIGH (A),,,,,,,,,
PTF1A,9,,1,1,,1,,,1,1,,,,,,1,,,1,1,,,,,1,,,,,,,,,,,1,"0.87 (per 100,000)
See INS per RXGenes",Y
FANCG,9,,,1,1,1,,,1,,,,,,1,,,1,1,1,,,,,1,,,AR,HIGH (A),Childhood,2,3,2,2,3,1,.76,Y
TBX19,9,,1,1,,1,,1,1,1,,,,,,,,,1,1,,,,,1,,,,,Neonatal,2,3,3,3,2,1,,Y
MPL,9,,,1,1,,,,,,,,,,,1,,,1,,,1,1,,1,1,1,AR,HIGH (A),Neonatal,2,3,3,2,2,1,,Y
PMM2,9,,,,1,1,,,1,1,1,,,,,1,1,1,,,,,,,1,,,AR,HIGH (A),,,,,,,1,5,Y
ENG,9,,,1,1,,,,,,,,,1,1,,,1,1,,,1,1,,,1,,AD,HIGH (A),Variable,2,2,2,3,3,,,
SGSH,9,,1,,1,,1,,,,,,,,1,1,,,1,1,1,,,1,,,,AR,HIGH (A),Childhood,2,3,0,0,2,1,1,Y
COLQ,9,,1,1,1,1,,,1,1,,,,,,1,,,1,1,,,,,,,,AR,HIGH (A),,,,,,,1,.92,Y
PLPBP,9,,1,1,,1,,,1,1,,,,,,,,,1,1,,,,1,1,,,,,,,,,,,1,2.565,Y
CHRNE,9,,1,1,1,1,,,1,1,,,,,,1,,,1,1,,,,,,,,AR,HIGH (A),,,,,,,1,.92,Y
SLC52A3,9,,1,1,,1,,,1,1,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,1,,Y
ATP8B1,9,,1,,1,,1,,,,1,,,1,1,,1,1,,,1,,,,,,,AR,HIGH (A),,,,,,,,,
RPS7,9,,1,,,1,,,1,1,,,,,1,1,,,1,1,,,,,1,,,,,Infant,1,3,2,3,0,1,.75,Y
AGRN,9,,1,1,1,1,,,1,1,,,,,,1,,,1,1,,,,,,,,AR,HIGH (A),,,,,,,1,.92,Y
AMN,9,,1,1,1,1,,,1,1,,,,,,,,1,1,1,,,,,,,,AR,HIGH (A),,,,,,,0,unk,Y
KCNJ1,9,,,1,1,,,,,1,,,,,1,1,,1,1,1,,,,,1,,,AR,HIGH (A),,,,,,,1,Rare; < 0.1,Y
OTOF,9,,,1,1,,,1,,1,,,,,1,,,1,1,,1,,1,,,,,AR,HIGH (A),Birth,1,3,3,3,3,,,
RAPSN,9,,1,1,1,1,,,1,1,,,,,,1,,,1,1,,,,,,,,AR,HIGH (A),,,,,,,1,.92,Y
CHRND,9,,1,1,1,1,,,1,1,,,,,,1,,,1,1,,,,,,,,AR,HIGH (A),,,,,,,1,.92,Y
F13A1,9,,1,1,,1,,,1,1,,,,,1,,,,1,1,,,,,1,,,,,Infant,2,2,3,3,2,1,.065,Y
MUSK,9,,1,1,1,1,,,1,1,,,,,,1,,,1,1,,,,,,,,AR,HIGH (A),,,,,,,1,.92,Y
ABCG5,9,,,1,1,,1,,,,1,,,,,1,1,,1,,1,,1,,,,,AR,HIGH (A),Childhood,2,3,2,2,2,0,2,Y
CYP11A1,9,,1,1,1,1,,,1,1,,,,,,,,,1,1,,,,,1,,,AR,HIGH (A),,,,,,,1,,Y
DHCR7,9,,1,1,1,,,,,,,,,1,1,,,,1,,,1,,,1,1,,AR,HIGH (A),Birth,2,3,0,0,3,1,2.5,Y
RPL15,8,,1,1,,1,,,1,1,,,,,,,,,1,1,,,,,1,,,,,Infant,1,3,2,3,0,1,.75,Y
MAN2B1,8,,,1,1,,,,1,,,,,,1,1,,,1,,,,,1,1,,,AR,HIGH (A),Childhood,1,3,2,1,2,1,.2,Y
NF1,8,,,,1,,,,,,,,,1,1,1,,1,,,,1,1,,,1,,AD,HIGH (A),Infant,1,2,2,2,3,0,,N
LMNA,8,,,,1,,,,,,,,,1,1,1,,1,,,,1,,,1,1,,AR,HIGH (A),Variable,2,3,2,3,3,1,.015,N
FANCB,8,,1,1,1,1,,,1,,,,,,,,,,1,1,,,,,1,,,XLR,HIGH (A),Childhood,2,3,2,2,2,1,.76,Y
FANCI,8,,1,1,1,1,,,1,,,,,,,,,,1,1,,,,,1,,,AR,HIGH (A),Childhood,2,3,2,2,2,1,.76,Y
TPRN,8,,,1,,,,1,,,,,,,,,,1,1,,,1,1,1,,1,,,,Birth,1,3,3,3,2,,,
FGB,8,,,1,1,,,,1,1,,,,,1,1,,,1,,,,,,1,,,AR,HIGH (A),,,,,,,1,.1,Y
TGFBR2,8,,,1,1,,,,,,,,1,,,,,,1,,,1,1,,1,1,,AD,HIGH (A),Variable,2,3,1,2,3,,,
MYO7A,8,,,1,1,,,1,,,,,1,,,,,1,1,,1,,,1,,,,AR,HIGH (A),Birth,2,3,2,3,3,,,
CD79B,8,,,1,,1,,,1,1,,,1,,,,,,1,1,,,,,1,,,,,,,,,,,1,.75,Y
CFP,8,,,1,1,1,,,1,1,,,,,,,,1,1,1,,,,,,,,XLR,HIGH (A),,,,,,,0,.5,Y
TRHR,8,,,,,,,,,1,,,,,,1,,,1,,,1,1,1,,1,1,,,Birth,0,3,3,3,0,,,
ITGB2,8,,1,1,,1,,,1,1,,,,,,,,,1,1,,,,,1,,,,,,,,,,,1,1,Y
NNT,8,,1,1,,1,,,1,1,,,,,,,,,1,1,,,,,1,,,,,,,,,,,1,,Y
KCNE1,8,,1,,1,,,1,,,,,,,1,,,1,,,,1,1,,,1,,AR,HIGH (A),Infant,3,3,3,2,3,,,
BRCA2,8,,1,1,1,1,,,1,,,,,,,,,,1,1,,1,,,,,,AR,HIGH (A),Childhood,2,3,2,2,2,1,.76,Y
DKC1,8,,1,,1,1,,,1,,,,,,1,1,,,,1,,,,,1,,,XLR,MODERATE (A),Childhood,2,3,1,2,2,1,,Y
GATA4,8,,,1,1,1,,,1,,,,1,,,1,,1,1,,,,,,,,,AD,HIGH (A),,,,,,,1,"0.87 (per 100,000)
See INS per RXGenes",Y
PGM3,8,,1,1,,1,,,1,,,,1,,,,,,1,1,,,,,1,,,,,,,,,,,0,1.72,Y
TCF3,8,,,1,,1,,,1,1,,,1,,,,,,1,1,,,,,1,,,,,,,,,,,1,.75,Y
BLNK,8,,,1,,1,,,1,1,,,1,,,,,,1,1,,,,,1,,,,,,,,,,,1,.75,Y
ATP6V0A4,8,,,1,,1,,,1,1,,,,,,,,1,1,1,,,,,1,,,,,,,,,,,1,0.046-0.16,Y
F13B,8,,1,,,1,,,1,1,,,,,1,,,,1,1,,,,,1,,,,,Neonatal,2,2,3,3,2,1,.065,Y
SLC12A1,8,,,1,1,,,,,1,,,,,,1,,1,1,1,,,,,1,,,AR,HIGH (A),,,,,,,1,Rare; < 0.1,Y
ARPC1B,8,,1,1,,1,,,1,1,,,1,,,,,,1,1,,,,,,,,,,,,,,,,0,unk,Y
COL13A1,8,,1,1,,1,,,1,1,,,,,,1,,,1,1,,,,,,,,,,,,,,,,1,.92,Y
SLC26A3,8,,1,1,1,,,1,,1,,,,,,,,,1,1,,,,,1,,,AR,HIGH (A),,,,,,,1,,Y
FGFR3,8,,,1,1,,,,,,,1,,1,1,,,1,1,,,,,1,,,,AD,HIGH (A),Neonatal,1,3,3,2,3,,,
ACAD9,8,,1,1,1,1,,,1,,,,,,,,,,1,1,,,,,1,,,AR,HIGH (A),,,,,,,1,unk,Y
CD79A,8,,,1,,1,,,1,1,,,1,,,,,,1,1,,,,,1,,,,,,,,,,,1,.75,Y
HNF4A,8,,,,,1,,,1,,,,,,,1,,,,1,,1,1,,1,1,,,,Variable,1,3,2,3,2,1,"2.4 ( (per 100,000)
See GLUD1 per RXGenes",Y
SLC19A2,8,,1,1,1,,,,,1,,,,,,1,,,1,1,,,,,1,,,AR,HIGH (A),Childhood,1,3,3,3,2,1,"0.87 (per 100,000)
See INS per RXGenes",Y
DGAT1,8,,1,1,,1,,,1,1,,,,,,,,,1,1,,,,,1,,,,,,,,,,,1,,Y
CBLIF,8,,1,1,,1,,1,1,1,,,,,,,,,1,1,,,,,,,,,,Childhood,2,3,3,3,2,1,,Y
BCKDK,8,,1,1,,1,,,1,1,,,,,,,,,1,1,,,,,1,,,,,,,,,,,1,unk,Y
WHRN,8,,,1,,,,,,,,,,,1,,,1,1,,,1,1,1,,1,,,,Birth,1,3,2,3,1,,,
PKD1,8,,,,1,1,,,1,,,,,1,1,1,,,1,,,,,,1,,,AD,HIGH (A),,,,,,,1,63.5,Y
FGG,8,,,1,1,,,,1,1,,,,,1,1,,,1,,,,,,1,,,AR,HIGH (A),,,,,,,1,.1,Y
TRMU,8,,,1,1,,,,,,,,,,,,,,1,,,1,1,,1,1,1,AR,HIGH (A),Neonatal,2,0,3,3,1,1,,Y
SCN8A,8,,,,,1,,,1,1,,,,,,,,,,1,,1,1,,,1,1,,,Infant,2,3,1,3,1,0,,N
SLC18A3,8,,1,1,,1,,,1,1,,,,,,1,,,1,1,,,,,,,,,,,,,,,,1,.92,Y
